,꽃,월,계절,꽃말,색상,꽃1,꽃2
227,멜론꽃,10,가을,포식,노랑,노랑수선화,캘리포니아퍼피
228,멜리사,2,겨울,동정,보라,이응매,해오라비난초
229,명자꽃,4,봄,"신뢰, 수줍음",빨강,팬지,미가목
230,모과꽃,9,가을,유혹,분홍,닭의장풀,캔들라이트 장미
231,모과꽃,9,가을,유혹,분홍,팬지,마이네리브 장미
232,모란,5,봄,"부귀, 영화, 성실",분홍,복주머니란(개불알꽃),골렘 카네이션
233,모멘텀 장미,6,여름,질투,노랑,논냉이,맥문동
234,모카라,5,봄,"청초한 아름다움, 기품",주황,목련,사이다 장미
235,모카스위트 카네이션,6,여름,사랑과 존경,빨강,펠리시티 장미,왁스플라워
236,목련,3,봄,고귀함,흰색,수국,하마다 카네이션
237,목련,4,봄,자연에의 사랑,흰색,수국,하마다 카네이션
238,목화,12,겨울,우수,흰색,복숭아꽃,바람꽃
239,목화,7,여름,"어머니의 사랑, 당신은 기품이 높다.",흰색,엘바 장미,겹 프릴 리시안셔스
240,몬디알 장미,6,여름,변치않는 사랑,노랑,햇살 장미,포드 소국
241,몬토야 카네이션,6,여름,존경,빨강,레이스플라워,염색 수국
242,몰약의꽃,11,가을,진실,흰색,블랙뷰티 장미,좀작살나무꽃
243,무궁화,2,겨울,섬세한 아름다움,분홍,펠리시티 장미,오리엔탈 백합
244,무궁화,7,여름,"은근, 끈기, 섬세한 아름다움",분홍,펠리시티 장미,오리엔탈 백합
245,무궁화,10,가을,미묘한 아름다움,분홍,펠리시티 장미,오리엔탈 백합
246,무릇,5,봄,강한 자제력,보라,금낭화,큐트 카네이션
247,무비스타 장미,6,여름,"갈망, 존경",분홍,하마다 카네이션,세일러문 해바라기
248,무스카리,2,겨울,"실망, 실의",파랑,미니 글라디올러스,문골렘 카네이션
249,무스카리,12,겨울,희망,파랑,미니 글라디올러스,문골렘 카네이션
250,문골렘 카네이션,6,여름,존경,흰색,퀵샌드 장미,알테어 카네이션
251,문라이트 카네이션,6,여름,존경,노랑,블랙뷰티 장미,좀작살나무꽃
252,문스톤 장미,6,여름,비밀스러운 마음,노랑,카모밀레,꽈리
253,물망초,2,겨울,날 잊지 말아요,파랑,현호색,말발도리
254,물망초,4,봄,"진실한 사랑, 나를 잊지 마세요.",파랑,현호색,말발도리
255,물망초,9,가을,날 잊지 말아요,파랑,현호색,말발도리
256,물망초,9,가을,날 잊지 말아요,파랑,현호색,말발도리
257,물봉선,9,가을,나를 건드리지 마세요.,노랑,팬지,미니 거베라
258,미가목,1,겨울,게으름을 모르는 마음,흰색,복숭아꽃,바람꽃
259,미가목,9,가을,"조심, 신중",흰색,복숭아꽃,바람꽃
260,미나리,7,여름,성의,흰색,블랙뷰티 장미,팬지
261,미나리아재비,1,겨울,천진난만,노랑,팬지,미니 거베라
